id,name,city,countryId,code,synonym
"26962002","National Museum and Art Gallery, Papua New Guinea, Boroko","Port Moresby","52880499","PNGM","NA"
"26962003","National Museum of the Philippines","Manila","52880502","PNM","NA"
"26962004","Princess Maha Chakri Sirindhorn Natural History Museum","Songkhla","52880548","PSUZC","Prince of Songkla University Zoological Collection"
"26962005","El Museo de Zoología, Pontificia Universidad Católica del Ecuador","Quito","52880393","QCAZ","NA"
"26962006","Queensland Museum","South Brisbane","44491778","QM","NA"
"26962007","Royal Belgian Institute of Natural Sciences","Brussels","44491785","RBINS","Koninklijk Belgisch Instituut voor Natuurwetenschappen, Institut royal des Sciences naturelles de Belgique, Musée royal d'Histoire naturelle de Belgique"
"26962008","Royal Museum for Central Africa","Tervuren","44491785","RMCA","NA"
"26962009","Naturalis Biodiversity Center","Leiden","52880482","RMNH","Rijksmuseum van Natuurlijke Historie"
"26962010","Royal Ontario Museum","Toronto","48686089","ROM","NA"
"26962011","South Australian Museum","Adelaide","44491778","SAMA","NA"
"26962012","State Georgian Museum","Tbilisi","52880410","SGMT","NA"
"26962013","Forschungsinstitut und Naturmuseum Senckenberg","Frankfurt","52880411","SMF","NA"
"26962014","Staatliches Museum für Naturkunde Karlsruhe","Karlsruhe","52880411","SMNK","State Museum of Natural History Karlsruhe"
"26962015","Museum of Natural History Stuttgart","Stuttgart","52880411","SMNS","NA"
"26962016","Staatliches Naturhistorisches Museum Braunschweig","Braunschweig","52880411","SNMB","NA"
"26962017","Department of Biology, Tunghai University","Taichung City","52880545","THUMB","NA"
"26962018","Ditsong National Museum of Natural History","Pretoria","52880533","TM","Transvaal Museum"
"26962019","Museum of Texas Tech University","Lubbock","52880565","TTU","NA"
"26962020","Colección de Mamíferos de la Universidad Austral de Chile","Valdivia","48686094","UACH","NA"
"26962021","Université d'Antananarivo, Département de Biologie animale","Antananarivo","52880457","UADBA","NA"
"26962022","Florida Museum of Natural History, University of Florida","Gainsville","52880565","UF","NA"
"26962023","Universidade Federal de Mato Grosso","Cuiabá","48686081","UFMT","NA"
"26962024","Universidade Federal do Pará","Belém","48686081","UFPA","NA"
"26962025","Universidade Federal da Paraiba","João Pessoa","48686081","UFPB","NA"
"26962026","Coleção Adriano Lúcio Peracchi, Universidade Federal Rural do Rio de Janeiro","Rio de Janeiro","48686081","UFRRJ","NA"
"26962027","e Colección de Mamíferos del Museo de Historia Natural de la Universidad Industrial de Santander","Bucaramanga","48686098","UISMHNM","NA"
"26962028","Zoological Collection of the University of Mandalay","Mandalay","52880478","UMCZ","NA"
"26962029","University of Michigan Museum of Zoology","Ann Arbor","52880565","UMMZ","NA"
"26962030","National Museum of Natural History, Smithsonian Institution","Washington, D.C.","52880565","USNM","United States National Museum"
"26962031","Uppsala University, Museum of Evolution, Zoology section","Uppsala","52880542","UUZM","Zoological Museum, Museum of Evolution of Uppsala University"
"26962032","University of Washington Burke Museum","Seattle","52880565","UWBM","NA"
"26962033","Western Australian Museum","Perth","44491778","WAM","NA"
"26962034","The Zoological Research Museum Alexander Koenig","Bonn","52880411","ZFMK","Zoologisches Forschungsmuseum Alexander Koenig"
"26962035","Zoological Institute, Russian Academy of Sciences","Saint Petersburg","52880510","ZIN","NA"
"26962036","Zoological Institute, Zagreb University","Zagreb","48686104","ZIUZ","NA"
"26962037","Museum für Naturkunde","Berlin","52880411","ZMB","Zoologisches Museum Berlin/Zoological Museum of the Humboldt-University Berlin"
"26962038","Museum der Natur","Hamburg","52880411","ZMH","Zoologisches Museum Hamburg"
"26962039","Zoological Museum of the Moscow State University","Moscow","52880510","ZMMU","NA"
"26962040","Zoologisches Museum Zürich","Zürich","52880411","ZMZ","NA"
"26962041","Zoological Survey of India collections at the Indian Museum","Calcutta","52880430","ZSI","Indian Museum"
"31156224","Zoologisches Staats-Sammlung München","Munich","52880411","ZSM","NA"
